Date : 2025-08-22 16:58:15
Directory : c:\Users\rache\catbook\NodeCrypt
Total : 69 files,  26012 codes, 2782 comments, 4115 blanks, all 32909 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\rache\catbook\NodeCrypt\client\js\messaging\MessageFlowManager.js     | JavaScript |        449 |         90 |        127 |        666 |
| c:\Users\rache\catbook\NodeCrypt\client\js\queue\QueuePersistence.js           | JavaScript |        365 |         68 |         92 |        525 |
| c:\Users\rache\catbook\NodeCrypt\client\js\queue\QueueUIComponents.js          | JavaScript |      1,275 |         35 |        123 |      1,433 |
| c:\Users\rache\catbook\NodeCrypt\client\js\queue\SecureQueueManager.js         | JavaScript |        435 |         81 |        117 |        633 |
| c:\Users\rache\catbook\NodeCrypt\client\js\room.js                             | JavaScript |        334 |         41 |         29 |        404 |
| c:\Users\rache\catbook\NodeCrypt\client\js\security\SecurityHardening.js       | JavaScript |        451 |         68 |        115 |        634 |
| c:\Users\rache\catbook\NodeCrypt\client\js\ui.js                               | JavaScript |        513 |         88 |         57 |        658 |
| c:\Users\rache\catbook\NodeCrypt\client\js\util.avatar.js                      | JavaScript |         15 |          8 |          0 |         23 |
| c:\Users\rache\catbook\NodeCrypt\client\js\util.dom.js                         | JavaScript |         46 |         18 |          0 |         64 |
| c:\Users\rache\catbook\NodeCrypt\client\js\util.emoji.js                       | JavaScript |         75 |         15 |          3 |         93 |
| c:\Users\rache\catbook\NodeCrypt\client\js\util.file.js                        | JavaScript |        540 |        105 |        104 |        749 |
| c:\Users\rache\catbook\NodeCrypt\client\js\util.fileUpload.js                  | JavaScript |        244 |         60 |         58 |        362 |
| c:\Users\rache\catbook\NodeCrypt\client\js\util.i18n.js                        | JavaScript |        362 |         77 |         42 |        481 |
| c:\Users\rache\catbook\NodeCrypt\client\js\util.image.js                       | JavaScript |        165 |         40 |         30 |        235 |
| c:\Users\rache\catbook\NodeCrypt\client\js\util.settings.js                    | JavaScript |        391 |         93 |         47 |        531 |
| c:\Users\rache\catbook\NodeCrypt\client\js\util.string.js                      | JavaScript |         22 |         10 |          2 |         34 |
| c:\Users\rache\catbook\NodeCrypt\client\js\util.theme.js                       | JavaScript |         78 |         23 |         12 |        113 |
| c:\Users\rache\catbook\NodeCrypt\client\js\utils\crypto.js                     | JavaScript |         58 |         47 |         11 |        116 |
| c:\Users\rache\catbook\NodeCrypt\client\js\webrtc-handler.js                   | JavaScript |         21 |         25 |         12 |         58 |
| c:\Users\rache\catbook\NodeCrypt\client\js\webrtc-integration.js               | JavaScript |        423 |         98 |         73 |        594 |
| c:\Users\rache\catbook\NodeCrypt\client\js\webrtc\SecureWebRTC.js              | JavaScript |        291 |         47 |         73 |        411 |
| c:\Users\rache\catbook\NodeCrypt\demo-working.js                               | JavaScript |        283 |         21 |         53 |        357 |
| c:\Users\rache\catbook\NodeCrypt\hipaa-demo.html                               | HTML       |        459 |          7 |         98 |        564 |
| c:\Users\rache\catbook\NodeCrypt\hipaa-queue-demo.html                         | HTML       |      1,048 |         14 |        168 |      1,230 |
| c:\Users\rache\catbook\NodeCrypt\package-lock.json                             | JSON       |      4,813 |          0 |          1 |      4,814 |
| c:\Users\rache\catbook\NodeCrypt\package.json                                  | JSON       |         48 |          0 |          1 |         49 |
| c:\Users\rache\catbook\NodeCrypt\server\package-lock.json                      | JSON       |         76 |          0 |          1 |         77 |
| c:\Users\rache\catbook\NodeCrypt\server\package.json                           | JSON       |         13 |          0 |          1 |         14 |
| c:\Users\rache\catbook\NodeCrypt\server\queue-server.js                        | JavaScript |        667 |         85 |        170 |        922 |
| c:\Users\rache\catbook\NodeCrypt\server\server.js                              | JavaScript |        423 |         16 |        147 |        586 |
| c:\Users\rache\catbook\NodeCrypt\test-integration.js                           | JavaScript |        295 |         40 |         55 |        390 |
| c:\Users\rache\catbook\NodeCrypt\test-queue-system.js                          | JavaScript |        511 |         68 |        125 |        704 |
| c:\Users\rache\catbook\NodeCrypt\test-webrtc-integration.html                  | HTML       |        221 |          0 |         17 |        238 |
| c:\Users\rache\catbook\NodeCrypt\tests\encryption.test.js                      | JavaScript |        130 |         52 |         48 |        230 |
| c:\Users\rache\catbook\NodeCrypt\tests\integration.test.js                     | JavaScript |        310 |         96 |        100 |        506 |
| c:\Users\rache\catbook\NodeCrypt\tests\keymanagement.test.js                   | JavaScript |        144 |         54 |         56 |        254 |
| c:\Users\rache\catbook\NodeCrypt\tests\messageflow.test.js                     | JavaScript |        293 |         73 |         88 |        454 |
| c:\Users\rache\catbook\NodeCrypt\tests\security.test.js                        | JavaScript |        372 |         86 |         94 |        552 |
| c:\Users\rache\catbook\NodeCrypt\tests\webrtc.test.js                          | JavaScript |        268 |         54 |         69 |        391 |
| c:\Users\rache\catbook\NodeCrypt\vite.config.js                                | JavaScript |         48 |         47 |          0 |         95 |
| c:\Users\rache\catbook\NodeCrypt\worker\index.js                               | JavaScript |        371 |         34 |         75 |        480 |
| c:\Users\rache\catbook\NodeCrypt\worker\utils.js                               | JavaScript |        118 |         10 |         32 |        160 |
| Total                                                                          |            |     26,012 |      2,782 |      4,115 |     32,909 |
+--------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
