"filename", "language", "Markdown", "HTML", "Docker", "JSON", "JavaScript", "PostCSS", "XML", "Objective-C", "Swift", "JavaScript JSX", "JSON with Comments", "TypeScript", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\rache\catbook\MedicalManagementApp\src\components\Collapsible.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -40, 0, -6, -46
"c:\Users\rache\catbook\MedicalManagementApp\src\components\ExternalLink.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -20, -2, -3, -25
"c:\Users\rache\catbook\MedicalManagementApp\src\components\HapticTab.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -16, -1, -2, -19
"c:\Users\rache\catbook\MedicalManagementApp\src\components\HelloWave.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -34, 0, -7, -41
"c:\Users\rache\catbook\MedicalManagementApp\src\components\MedicalRecordTableView.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -75, -3, -9, -87
"c:\Users\rache\catbook\MedicalManagementApp\src\components\ParallaxScrollView.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -76, 0, -7, -83
"c:\Users\rache\catbook\MedicalManagementApp\src\components\SecureWebViewWrapper.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -644, -32, -48, -724
"c:\Users\rache\catbook\MedicalManagementApp\src\components\ThemedText.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -55, 0, -6, -61
"c:\Users\rache\catbook\MedicalManagementApp\src\components\ThemedView.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -10, 0, -5, -15
"c:\Users\rache\catbook\MedicalManagementApp\src\components\WebViewWrapper.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -659, -43, -57, -759
"c:\Users\rache\catbook\MedicalManagementApp\src\components\__tests__\SecureWebViewWrapper.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -546, -5, -95, -646
"c:\Users\rache\catbook\MedicalManagementApp\src\components\common\ErrorBoundary.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -200, -2, -19, -221
"c:\Users\rache\catbook\MedicalManagementApp\src\components\common\LoadingSpinner.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -62, 0, -6, -68
"c:\Users\rache\catbook\MedicalManagementApp\src\components\common\SafeAreaWrapper.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -73, -1, -7, -81
"c:\Users\rache\catbook\MedicalManagementApp\src\components\fax\FaxCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -167, 0, -12, -179
"c:\Users\rache\catbook\MedicalManagementApp\src\components\fax\FaxFilters.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -144, 0, -7, -151
"c:\Users\rache\catbook\MedicalManagementApp\src\components\fax\SeverityBadge.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -75, -1, -5, -81
"c:\Users\rache\catbook\MedicalManagementApp\src\components\forms\InsuranceForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -141, -1, -16, -158
"c:\Users\rache\catbook\MedicalManagementApp\src\components\forms\PatientForms.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -616, -7, -33, -656
"c:\Users\rache\catbook\MedicalManagementApp\src\components\ui\IconSymbol.ios.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -31, 0, -2, -33
"c:\Users\rache\catbook\MedicalManagementApp\src\components\ui\IconSymbol.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -26, -11, -5, -42
"c:\Users\rache\catbook\MedicalManagementApp\src\components\ui\TabBarBackground.ios.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -15, -2, -3, -20
"c:\Users\rache\catbook\MedicalManagementApp\src\components\ui\TabBarBackground.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -1, -2, -7
"c:\Users\rache\catbook\MedicalManagementApp\src\config\oauth.config.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -86, 0, -18, -14, -118
"c:\Users\rache\catbook\MedicalManagementApp\src\core\clinical\ClinicalSafetyService.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -292, 0, -47, -53, -392
"c:\Users\rache\catbook\MedicalManagementApp\src\core\clinical\DrugInteractionService.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -175, 0, -21, -27, -223
"c:\Users\rache\catbook\MedicalManagementApp\src\core\compliance\AuditLog.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -522, 0, -83, -103, -708
"c:\Users\rache\catbook\MedicalManagementApp\src\core\compliance\AuditLogEnhanced.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\rache\catbook\MedicalManagementApp\src\core\compliance\AuditLogUsage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\rache\catbook\MedicalManagementApp\src\core\compliance\AuditTrail.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -562, 0, -108, -136, -806
"c:\Users\rache\catbook\MedicalManagementApp\src\core\compliance\CURES2Service.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -232, 0, -44, -40, -316
"c:\Users\rache\catbook\MedicalManagementApp\src\core\compliance\CaliforniaHealthcareCompliance.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -215, 0, -50, -48, -313
"c:\Users\rache\catbook\MedicalManagementApp\src\core\compliance\ConsentManager.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -171, 0, -11, -25, -207
"c:\Users\rache\catbook\MedicalManagementApp\src\core\compliance\KnoxKeeneCompliance.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -61, 0, -48, -11, -120
"c:\Users\rache\catbook\MedicalManagementApp\src\core\compliance\TelehealthConsentService.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\rache\catbook\MedicalManagementApp\src\core\compliance\dataRetentionService.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -89, 0, -4, -19, -112
"c:\Users\rache\catbook\MedicalManagementApp\src\core\compliance\fhir.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -460, 0, -23, -30, -513
"c:\Users\rache\catbook\MedicalManagementApp\src\features\medications\PrescriptionScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -29, -4, -4, -37
"c:\Users\rache\catbook\MedicalManagementApp\src\features\provider\ProviderEfficiencyService.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -321, 0, -42, -64, -427
"c:\Users\rache\catbook\MedicalManagementApp\src\features\telehealth\services\LiveKitService.ts\LiveKitService.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -317, 0, -109, -65, -491
"c:\Users\rache\catbook\MedicalManagementApp\src\hooks\useAuditedAction.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -376, 0, -76, -64, -516
"c:\Users\rache\catbook\MedicalManagementApp\src\hooks\useAuth.js", "JavaScript", 0, 0, 0, 0, -165, 0, 0, 0, 0, 0, 0, 0, 0, -5, -31, -201
"c:\Users\rache\catbook\MedicalManagementApp\src\hooks\useColorScheme.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, -1, -2
"c:\Users\rache\catbook\MedicalManagementApp\src\hooks\useColorScheme.web.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -13, 0, -3, -6, -22
"c:\Users\rache\catbook\MedicalManagementApp\src\hooks\useThemeColor.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -14, 0, -4, -4, -22
"c:\Users\rache\catbook\MedicalManagementApp\src\navigation\AuthNavigator.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -19, -1, -3, -23
"c:\Users\rache\catbook\MedicalManagementApp\src\navigation\MainNavigator.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -179, -4, -10, -193
"c:\Users\rache\catbook\MedicalManagementApp\src\navigation\RootNavigator.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -220, -5, -21, -246
"c:\Users\rache\catbook\MedicalManagementApp\src\paper\PaperPrescriptionService.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -65, 0, -11, -15, -91
"c:\Users\rache\catbook\MedicalManagementApp\src\screens\ConsentFormScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -411, -19, -31, -461
"c:\Users\rache\catbook\MedicalManagementApp\src\screens\DashboardScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -461, -10, -24, -495
"c:\Users\rache\catbook\MedicalManagementApp\src\screens\HomeScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -139, -1, -6, -146
"c:\Users\rache\catbook\MedicalManagementApp\src\screens\LoginScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -517, -20, -36, -573
"c:\Users\rache\catbook\MedicalManagementApp\src\screens\MessageScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -431, -466, -26, -923
"c:\Users\rache\catbook\MedicalManagementApp\src\screens\PatientDetailScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -754, -6, -47, -807
"c:\Users\rache\catbook\MedicalManagementApp\src\screens\PatientMedicalHistory.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -35, -4, -6, -45
"c:\Users\rache\catbook\MedicalManagementApp\src\screens\PatientSearchScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -392, -1, -26, -419
"c:\Users\rache\catbook\MedicalManagementApp\src\screens\SecurePrescriptionScreen.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -55, 0, -4, -9, -68
"c:\Users\rache\catbook\MedicalManagementApp\src\screens\WebViewScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -47, -1, -7, -55
"c:\Users\rache\catbook\MedicalManagementApp\src\screens\auth\LoginScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -135, -1, -14, -150
"c:\Users\rache\catbook\MedicalManagementApp\src\screens\auth\QRLogin.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -24, -6, -4, -34
"c:\Users\rache\catbook\MedicalManagementApp\src\screens\fax\FaxDetailScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -490, -11, -30, -531
"c:\Users\rache\catbook\MedicalManagementApp\src\screens\fax\FaxListScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -423, -9, -30, -462
"c:\Users\rache\catbook\MedicalManagementApp\src\services\AuthService.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -493, 0, -100, -77, -670
"c:\Users\rache\catbook\MedicalManagementApp\src\services\EncryptedDatabaseService.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -206, 0, -71, -45, -322
"c:\Users\rache\catbook\MedicalManagementApp\src\services\OAuthService.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -423, 0, -83, -74, -580
"c:\Users\rache\catbook\MedicalManagementApp\src\services\OAuthWebViewBridge.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -274, 0, -36, -28, -338
"c:\Users\rache\catbook\MedicalManagementApp\src\services\SecureAPIClient.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -91, 0, -35, -22, -148
"c:\Users\rache\catbook\MedicalManagementApp\src\services\phiProtection.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -127, 0, -15, -26, -168
"c:\Users\rache\catbook\MedicalManagementApp\src\services\requestSecurity.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -76, 0, -6, -18, -100
"c:\Users\rache\catbook\MedicalManagementApp\src\services\security.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -169, 0, -19, -36, -224
"c:\Users\rache\catbook\MedicalManagementApp\src\services\simpleConsentServices.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -81, 0, -18, -16, -115
"c:\Users\rache\catbook\MedicalManagementApp\src\services\webViewServices.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -71, 0, -24, -12, -107
"c:\Users\rache\catbook\MedicalManagementApp\store\authStore.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -256, 0, -31, -46, -333
"c:\Users\rache\catbook\MedicalManagementApp\store\faxStore.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -103, 0, -3, -17, -123
"c:\Users\rache\catbook\MedicalManagementApp\store\patientStore.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -138, 0, -2, -22, -162
"c:\Users\rache\catbook\MedicalManagementApp\sync\conflictResolutionService.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -203, 0, -16, -39, -258
"c:\Users\rache\catbook\MedicalManagementApp\theme\colors.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -109, 0, -11, -11, -131
"c:\Users\rache\catbook\MedicalManagementApp\theme\spacing.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -89, 0, -7, -7, -103
"c:\Users\rache\catbook\MedicalManagementApp\theme\typography.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -147, 0, -10, -10, -167
"c:\Users\rache\catbook\MedicalManagementApp\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -42, 0, 0, 0, 0, -42
"c:\Users\rache\catbook\MedicalManagementApp\types\api.types.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -38, 0, 0, -6, -44
"c:\Users\rache\catbook\MedicalManagementApp\types\models.types.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -181, 0, 0, -16, -197
"c:\Users\rache\catbook\MedicalManagementApp\types\navigation.types.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -46, 0, -9, -9, -64
"c:\Users\rache\catbook\MedicalManagementApp\utils\DeviceFingerprint.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -99, 0, -7, -21, -127
"c:\Users\rache\catbook\MedicalManagementApp\utils\backgroundTasks.js", "JavaScript", 0, 0, 0, 0, -37, 0, 0, 0, 0, 0, 0, 0, 0, -9, -9, -55
"c:\Users\rache\catbook\MedicalManagementApp\utils\constants.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -57, 0, 0, -8, -65
"c:\Users\rache\catbook\MedicalManagementApp\utils\disasterRecover.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -142, 0, -40, -44, -226
"c:\Users\rache\catbook\MedicalManagementApp\utils\helpers.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\rache\catbook\MedicalManagementApp\utils\notifications.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -170, 0, -12, -37, -219
"c:\Users\rache\catbook\MedicalManagementApp\utils\offline.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -232, 0, -32, -55, -319
"c:\Users\rache\catbook\MedicalManagementApp\utils\pdfoptimize.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -75, 0, -16, -18, -109
"c:\Users\rache\catbook\MedicalManagementApp\utils\performanceMonitor.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\rache\catbook\MedicalManagementApp\utils\search.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -49, 0, -15, -14, -78
"c:\Users\rache\catbook\NodeCrypt\CLAUDE.md", "Markdown", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 31
"c:\Users\rache\catbook\NodeCrypt\Dockerfile", "Docker", 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 22, 139
"c:\Users\rache\catbook\NodeCrypt\HIPAA-IMPLEMENTATION.md", "Markdown", 159, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 206
"c:\Users\rache\catbook\NodeCrypt\LEGAL_IP_LOGGING.md", "Markdown", 444, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 97, 541
"c:\Users\rache\catbook\NodeCrypt\README.md", "Markdown", 126, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 180
"c:\Users\rache\catbook\NodeCrypt\README_EN.md", "Markdown", 121, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 171
"c:\Users\rache\catbook\NodeCrypt\SECURITY_RECOMMENDATIONS.md", "Markdown", 136, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 157
